Johan Buddenbrook,Johan Buddenbrook,true,"Adding 'Johan Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Persons are equal."
Alien Alien,Johan Buddenbrook,false,"Adding 'Alien Alien' to siblings list of 'Johan Buddenbrook' should NOT fail
because Aspirant is alien"
Johann Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Johann Buddenbrook is in parental line of Johan Buddenbrook"
Johann Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Johann Buddenbrook is in children's line of Johan Buddenbrook"
Bernhard Buddenbrook,Johan Buddenbrook,true,"Adding 'Bernhard Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Bernhard Buddenbrook is in parental line of Johan Buddenbrook"
Bernhard Buddenbrook,Johan Buddenbrook,true,"Adding 'Bernhard Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Bernhard Buddenbrook is in children's line of Johan Buddenbrook"
Gotthold Buddenbrook,Johan Buddenbrook,true,"Adding 'Gotthold Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Gotthold Buddenbrook is in parental line of Johan Buddenbrook"
Gotthold Buddenbrook,Johan Buddenbrook,true,"Adding 'Gotthold Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Gotthold Buddenbrook is in children's line of Johan Buddenbrook"
Frederike Buddenbrook,Johan Buddenbrook,true,"Adding 'Frederike Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Frederike Buddenbrook is in parental line of Johan Buddenbrook"
Frederike Buddenbrook,Johan Buddenbrook,true,"Adding 'Frederike Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Frederike Buddenbrook is in children's line of Johan Buddenbrook"
Henriette Buddenbrook,Johan Buddenbrook,true,"Adding 'Henriette Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Henriette Buddenbrook is in parental line of Johan Buddenbrook"
Henriette Buddenbrook,Johan Buddenbrook,true,"Adding 'Henriette Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Henriette Buddenbrook is in children's line of Johan Buddenbrook"
Pfiffi Buddenbrook,Johan Buddenbrook,true,"Adding 'Pfiffi Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Pfiffi Buddenbrook is in parental line of Johan Buddenbrook"
Pfiffi Buddenbrook,Johan Buddenbrook,true,"Adding 'Pfiffi Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Pfiffi Buddenbrook is in children's line of Johan Buddenbrook"
Olly Buddenbrook,Johan Buddenbrook,true,"Adding 'Olly Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Olly Buddenbrook is in parental line of Johan Buddenbrook"
Olly Buddenbrook,Johan Buddenbrook,true,"Adding 'Olly Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Olly Buddenbrook is in children's line of Johan Buddenbrook"
Johann (Jean) Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann (Jean) Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Johann (Jean) Buddenbrook is in parental line of Johan Buddenbrook"
Johann (Jean) Buddenbrook,Johan Buddenbrook,true,"Adding 'Johann (Jean) Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Johann (Jean) Buddenbrook is in children's line of Johan Buddenbrook"
Klothilde Buddenbrook,Johan Buddenbrook,true,"Adding 'Klothilde Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Klothilde Buddenbrook is in parental line of Johan Buddenbrook"
Klothilde Buddenbrook,Johan Buddenbrook,true,"Adding 'Klothilde Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Klothilde Buddenbrook is in children's line of Johan Buddenbrook"
Thomas Buddenbrook,Johan Buddenbrook,true,"Adding 'Thomas Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Thomas Buddenbrook is in parental line of Johan Buddenbrook"
Thomas Buddenbrook,Johan Buddenbrook,true,"Adding 'Thomas Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Thomas Buddenbrook is in children's line of Johan Buddenbrook"
Antonie (Tony) Buddenbrook,Johan Buddenbrook,true,"Adding 'Antonie (Tony) Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Antonie (Tony) Buddenbrook is in parental line of Johan Buddenbrook"
Antonie (Tony) Buddenbrook,Johan Buddenbrook,true,"Adding 'Antonie (Tony) Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Antonie (Tony) Buddenbrook is in children's line of Johan Buddenbrook"
Christian Buddenbrook,Johan Buddenbrook,true,"Adding 'Christian Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Christian Buddenbrook is in parental line of Johan Buddenbrook"
Christian Buddenbrook,Johan Buddenbrook,true,"Adding 'Christian Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Christian Buddenbrook is in children's line of Johan Buddenbrook"
Clara Buddenbrook,Johan Buddenbrook,true,"Adding 'Clara Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Clara Buddenbrook is in parental line of Johan Buddenbrook"
Clara Buddenbrook,Johan Buddenbrook,true,"Adding 'Clara Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Clara Buddenbrook is in children's line of Johan Buddenbrook"
Hanno Buddenbrook,Johan Buddenbrook,true,"Adding 'Hanno Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Hanno Buddenbrook is in parental line of Johan Buddenbrook"
Hanno Buddenbrook,Johan Buddenbrook,true,"Adding 'Hanno Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Hanno Buddenbrook is in children's line of Johan Buddenbrook"
Erika Gruenlich,Johan Buddenbrook,true,"Adding 'Erika Gruenlich' to siblings list of 'Johan Buddenbrook' should  fail
because Erika Gruenlich is in parental line of Johan Buddenbrook"
Erika Gruenlich,Johan Buddenbrook,true,"Adding 'Erika Gruenlich' to siblings list of 'Johan Buddenbrook' should  fail
because Erika Gruenlich is in children's line of Johan Buddenbrook"
Elisabeth Weinschenk,Johan Buddenbrook,true,"Adding 'Elisabeth Weinschenk' to siblings list of 'Johan Buddenbrook' should  fail
because Elisabeth Weinschenk is in parental line of Johan Buddenbrook"
Elisabeth Weinschenk,Johan Buddenbrook,true,"Adding 'Elisabeth Weinschenk' to siblings list of 'Johan Buddenbrook' should  fail
because Elisabeth Weinschenk is in children's line of Johan Buddenbrook"
Gisela Buddenbrook,Johan Buddenbrook,true,"Adding 'Gisela Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Gisela Buddenbrook is in parental line of Johan Buddenbrook"
Gisela Buddenbrook,Johan Buddenbrook,true,"Adding 'Gisela Buddenbrook' to siblings list of 'Johan Buddenbrook' should  fail
because Gisela Buddenbrook is in children's line of Johan Buddenbrook"
Alien Alien,Alien Alien,true,"Adding 'Alien Alien' to siblings list of 'Alien Alien' should  fail
because Persons are equal."
Johan Buddenbrook,Johann Buddenbrook,true,"Adding 'Johan Buddenbrook' to siblings list of 'Johann Buddenbrook' should  fail
because Johan Buddenbrook is in parental line of Johann Buddenbrook"
Johan Buddenbrook,Johann Buddenbrook,true,"Adding 'Johan Buddenbrook' to siblings list of 'Johann Buddenbrook' should  fail
because Johan Buddenbrook is in children's line of Johann Buddenbrook"
Alien Alien,Johann Buddenbrook,false,"Adding 'Alien Alien' to siblings list of 'Johann Buddenbrook' should NOT fail
because Aspirant is alien"
Johann Buddenbrook,Johann Buddenbrook,true,"Adding 'Johann Buddenbrook' to siblings list of 'Johann Buddenbrook' should  fail
because Persons are equal."
Johann Buddenbrook,Johann Buddenbrook,true,"Adding 'Johann Buddenbrook' to siblings list of 'Johann Buddenbrook' should  fail
because Johann Buddenbrook is already sibling of Johann Buddenbrook"
Bernhard Buddenbrook,Johann Buddenbrook,true,"Adding 'Bernhard Buddenbrook' to siblings list of 'Johann Buddenbrook' should  fail
because Bernhard Buddenbrook is already sibling of Johann Buddenbrook"
Josephine Buddenbrook,Johann Buddenbrook,true,"Adding 'Josephine Buddenbrook' to siblings list of 'Johann Buddenbrook' should  fail
because Josephine Buddenbrook is already spouse of Johann Buddenbrook"
Antoinette Duchamps,Johann Buddenbrook,true,"Adding 'Antoinette Duchamps' to siblings list of 'Johann Buddenbrook' should  fail
because Antoinette Duchamps is already spouse of Johann Buddenbrook"
